temprature,time
22.34,1553974814384
24.77,1554453925188
25.09,1554455725250
25.73,1554457525395
25.73,1554459324944
25.73,1554461125152
25.41,1554462925949
25.41,1554464725096
25.73,1554466525022
25.73,1554468324822
25.73,1554470124754
25.73,1554471924673
26.05,1554473724814
25.73,1554475524453
26.05,1554477324375
26.38,1554479124403
26.05,1554480924215
26.38,1554482724325
26.38,1554484524430
26.38,1554486324421
26.7,1554488124383
26.38,1554489924287
26.38,1554491724017
26.38,1554493523976
26.7,1554495323833
26.38,1554497123839
21.54,1554498923845
20.58,1554500723880
20.25,1554502523682
25.41,1554551119113
25.73,1554552918881
25.73,1554554718689
26.05,1554557822133
25.73,1554559623895
26.05,1554561425168
25.41,1554563226747
25.41,1554565028193
25.73,1554566829604
26.38,1554568631107
27.02,1554571046418
27.34,1554572881452
26.05,1554579698983
26.38,1554581514457
26.38,1554583315687
27.02,1555151801130
27.34,1555160000969
27.34,1555161932035
27.34,1555163868187
27.67,1555165793333
27.67,1555167726868
27.34,1555169662878
27.34,1555171592888
27.34,1555173529212
27.34,1555175479884
27.34,1555177416947
27.99,1555179350430
27.99,1555181281343
27.99,1555183209794
27.99,1555185144564
27.99,1555187074522
23.15,1555189006401
22.83,1555190930536
22.83,1555192861682
22.83,1555194793347
22.51,1555196717467
21.54,1555198649204
21.54,1555200575121
22.19,1555202502941
23.8,1555204436851
23.15,1555206363882
22.51,1555208298231
22.51,1555210221827
23.15,1555212154606
22.51,1555214085748
23.48,1555216009761
22.51,1555217945353
22.83,1555219873466
23.48,1555221817635
23.15,1555223740337
22.83,1555225663880
23.48,1555227592175
24.44,1555229520180
25.41,1555231452111
26.05,1555233381132
26.38,1555235310034
26.7,1555237237044
26.7,1555239170873
27.34,1555241117002
27.02,1555243040523
27.34,1555245001235
27.34,1555246932962
27.34,1555248874680
27.34,1555250813524
27.34,1555252745601
27.34,1555254676468
27.34,1555256603445
27.34,1555258538397
27.34,1555260468330
30.57,1555262399426
24.44,1555676079141
24.12,1555677880743
24.12,1555679682585
23.8,1555681484387
